product_no,product_name,ingredients,category
49,Activia Probiyotik Laktozsuz Sade Yoğurt,,Süt Ürünleri
50,Activia Probiyotikli Bowl Muz&Yulaf&Fındık,"Probiyotikli Laktozsuz Yoğurt, 6 Muz (püresi Ve Parçacıkları, Şeker, Inulin, Modifiye Nişasta, 0, 75 Yulaf Gevreği (gluten, Aroma Vericiler, 0, 15 Fındık Parçacıkları, Asitlik Düzenleyiciler (sitrik Asit, Sodyum Sitratlar, Stabilizörler",Süt Ürünleri
51,Activia Shot Ahududu & Hibiskus,"Laktozsuz Doğal Probiyotik Yoğurt, Meyveli Sos (%8) (pancar Şekeri, Ahududu Püresi (%210) Modifiye Nişasta, Aroma Vericiler, Siyah Havuç Suyu Konsantresi, Hibiskus(bamya çiçeği)tozu(%0, 1",Süt Ürünleri
52,Activia Shot Sade,"İnek Sütü, Laktaz Enzimi, Yoğurt Mayası, Probiyotik Bakteri",Süt Ürünleri
53,Adaçayı kg,,İçecekler
54,Ahmad Tea Ceylon Bardak Poşet Çay,,İçecekler
55,Ahmad Tea Ceylon Demlik Poşet Çay,,İçecekler
56,Ahmad Tea Ceylon Dökme Çay,,İçecekler
57,Ahmad Tea Ceylon Tea Dökme Çay,,İçecekler
58,Ahmad Tea Earl Grey Bardak Poşet Çay,,İçecekler
59,Ahmad Tea Earl Grey Demlik Poşet Çay,,İçecekler
60,Ahmad Tea Earl Grey Demlik Poşet Çay,,İçecekler
61,Ahmad Tea English Breakfast,,İçecekler
62,Ahmad Tea English Breakfast,,İçecekler
63,Ahmad Tea English Breakfast Bardak Poşet Çay,,İçecekler
64,Ahmad Tea English No1 Bardak Poşet Çay,,İçecekler
65,Ahmad Tea English No1 Demlik Poşet Çay,,İçecekler
66,Ahmad Tea Special Blend,,İçecekler
67,Ahmad Tea Special Blend,,İçecekler
68,Air Wick Elektrikli Oda Kokusu Cihaz + Yedek Şişe Lavanta - Esansiyel Yağlar İçerir*,,"Temizlik, Deterjan"
69,Air Wick Elektrikli Oda Kokusu Cihaz + Yedek Şişe Temizliğin Esintisi - Esansiyel Yağlar İçerir*,,"Temizlik, Deterjan"
70,Air Wick Elektrikli Oda Kokusu Kiti Vanilya Büyüsü,,"Temizlik, Deterjan"
71,Air Wick Elektrikli Oda Kokusu Yedek Şişe Lavanta - Esansiyel Yağlar İçerir*,,"Temizlik, Deterjan"
72,Air Wick Freshmatic Otomatik Sprey Bahar Çiçekleri Yedek Sprey,,"Temizlik, Deterjan"
73,Air Wick Freshmatic Otomatik Sprey & Bahar Çiçekleri Yedek Sprey Oda Kokusu Kiti,,"Temizlik, Deterjan"
74,Airmesh Göğüs Tasması Reflektörlü,,Pet Shop
75,Airwick Aerosol Premium Koku Serisi Manolya & Kiraz Çiçekleri Sprey Oda Kokusu (),,"Temizlik, Deterjan"
76,Airwick Aerosol Premium Koku Serisi Okyanus Ferahlığı Sprey Oda Kokusu (),,"Temizlik, Deterjan"
77,Ak-Du Klasik İnek Peyniri Kg,"Pastörize Inek Sütü (%98, 68, Peynir mayası(%0, 12, Tuz (%1, 2",Süt Ürünleri
78,Akmina Doğal Maden Suyu Pet,,İçecekler
79,Akmina Limon Aromalı Maden Suyu,"Akmina Doğal Zengin Mineralli su(%94, Pancar Şekeri, Karbondioksit, Asitlik Düzenleyici(sitrik Asit, Tatlandırıcı(asesülfam K, Sükraloz, Koruyucu(sodyum Benzoat, Limon Aroma Vericisi",İçecekler
80,Akmina Maden Suyu Pet,Türkiye,İçecekler
81,Aktif Carbon Kedi Kumu Koku Giderici,,Pet Shop
82,Aktif Carbon Kedi Kumu Koku Giderici,,Pet Shop
83,Alaçatı Kurabiyecisi Çikolatalı Çıtır Kurabiye,,Fırın
84,Alaçatı Kurabiyecisi Çörekotlu Kurabiye,,Fırın
85,Alaçatı Kurabiyecisi Damla Sakızlı Kurabiye,,Fırın
86,Alaçatı Kurabiyecisi Simit Tuzlu Kurabiye,,Fırın
87,Alaçatı Kurabiyecisi Tahinli Kurabiye,,Fırın
88,Alaçatı Kurabiyecisi Tarçınlı Kurabiye,,Fırın
89,Alaçatı Kurabiyecisi Tuzlu Kurabiye,,Fırın
90,Alaçatı Kurabiyecisi Üzümlü Kurabiye,,Fırın
91,Albeni İkramlık Mini Bar Kg,"Şeker, Buğday Unu, Bitkisel Yağlar (palm, Tam Hidrojenize Palm Çekirdeği, Maltodekstrin, Şekerli Koyulaştırılmış Yarım Yağlı Süt, Kakao Yağı, Tam Yağlı Süttozu, Invert Şeker Şurubu, Kakao Kitlesi, Yağsız Süttozu, Peyniraltı",Atıştırmalık
92,Alf Kumaş Ağızlık Large,,Pet Shop
93,Algida Atelier Gelarto Belçika Dondurma,18 ºc'de MUHAFAZA EDİLMELİDİR,Dondurma
94,Algida Bolkaymak,"Su, Kaymak (süt Ürünü) (%20, Şeker, Yağsız Süt Tozu, Süt Proteini, Kıvam Arttırıcı (guar Gam, Selüloz Gam, Kavrulmuş Antep Fıstık Parça, Emülgatör (yağ Asitlerinin Mono Ve Digliseritleri, Sahlep",Dondurma
95,Algida Boom Boom,,Dondurma
96,Algida Boom Boom Kat Kat,"Yer F#st### Par#al# Karamelli Bitkisel Ya#l# S#tl# Buz [su, Eker, Bitkisel Ya#lar (de#i#en Oranlarda Hindistan Cevizi, Palm, Yer F#st### (%5, Ya#s#z S#t Tozu, Peyniralt# Suyu Tozu (s#t #r#n, S#t Proteini, Renklendirici (amonyak Karamel, Stabilizat",Dondurma
